"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04143V04909","Country of Birth","UNIT","VALUE"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","-","All countries","%","76.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","IE","Ireland","%","77.7"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","UK","UK","%","81.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","ZZEUAB","EU15","%","75.7"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","ZZROEU","Rest of EU","%","79.2"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","-","Both sexes","ZZROW","Rest of World","%","54.5"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","-","All countries","%","79.7"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","IE","Ireland","%","79.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","UK","UK","%","85.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","ZZEUAB","EU15","%","82.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","ZZROEU","Rest of EU","%","86.7"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","1","Male","ZZROW","Rest of World","%","60.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","-","All countries","%","74"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","IE","Ireland","%","75.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","UK","UK","%","76.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","ZZEUAB","EU15","%","67.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","ZZROEU","Rest of EU","%","71.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2015","2015","2","Female","ZZROW","Rest of World","%","49.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","-","All countries","%","74.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","IE","Ireland","%","76.2"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","UK","UK","%","80.2"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","ZZEUAB","EU15","%","74.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","ZZROEU","Rest of EU","%","68.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","-","Both sexes","ZZROW","Rest of World","%","57.4"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","-","All countries","%","78.1"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","IE","Ireland","%","79.1"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","UK","UK","%","80"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","ZZEUAB","EU15","%","89.3"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","ZZROEU","Rest of EU","%","76.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","1","Male","ZZROW","Rest of World","%","62.1"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","-","All countries","%","71.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","IE","Ireland","%","73.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","UK","UK","%","80.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","ZZEUAB","EU15","%","60.2"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","ZZROEU","Rest of EU","%","59.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2016","2016","2","Female","ZZROW","Rest of World","%","52.6"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","-","All countries","%","76.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","IE","Ireland","%","77.5"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","UK","UK","%","82.7"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","ZZEUAB","EU15","%","90.4"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","ZZROEU","Rest of EU","%","78.1"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","-","Both sexes","ZZROW","Rest of World","%","54"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","-","All countries","%","79.3"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","IE","Ireland","%","79.8"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","UK","UK","%","84.2"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","ZZEUAB","EU15","%","90.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","ZZROEU","Rest of EU","%","84.1"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","1","Male","ZZROW","Rest of World","%","56.9"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","2","Female","-","All countries","%","74.4"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","2","Female","IE","Ireland","%","75.4"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","2","Female","UK","UK","%","81"
"HIS46C01","Persons who consumed alcohol in the last twelve months","2017","2017","2","Female","ZZEUAB","EU15","%","89.9"
