"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V03371","Age Group","UNIT","VALUE"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","-","All ages","%","30.5"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","300","15 - 19 years","%","25.1"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","365","20 - 24 years","%","61.8"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","410","25 - 29 years","%","51.6"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","440","30 - 34 years","%","35"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","460","35 - 39 years","%","33.1"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","475","40 - 44 years","%","33.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","495","45 - 49 years","%","27"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","515","50 - 54 years","%","26.7"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","530","55 - 59 years","%","25.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","550","60 - 64 years","%","22.4"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","565","65 - 69 years","%","21.7"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","580","70 - 74 years","%","12.3"
"HIS47C01","Persons who binge drink","2015","2015","-","Both sexes","605","75 years and over","%","6.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","-","All ages","%","45.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","300","15 - 19 years","%","36.4"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","365","20 - 24 years","%","76.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","410","25 - 29 years","%","66.8"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","440","30 - 34 years","%","51.2"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","460","35 - 39 years","%","47.3"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","475","40 - 44 years","%","47.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","495","45 - 49 years","%","41"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","515","50 - 54 years","%","45.7"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","530","55 - 59 years","%","45.5"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","550","60 - 64 years","%","38.9"
"HIS47C01","Persons who binge drink","2015","2015","1","Male","565","65 - 69 years","%","31.5"
